arm,group,comparator,hypothesis,caveat,overrides_json
baseline,backbone,full,Pure DreamerV3 with native h readouts,,"{""agent.htp.enabled"": false, ""agent.htp.grad_to_backbone"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
full,factorial,flat,"Original full CoRe-WM, all defaults unchanged",,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
flat,factorial,baseline,Effect of learned projection scaffold without auxiliaries,Aux heads kept for capacity/RNG control,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 0.0, ""agent.loss_scales.htp_rec"": 0.0}"
rec_only,factorial,flat,Reconstruction effect without prediction,,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 0.0, ""agent.loss_scales.htp_rec"": 1.0}"
pdyn_only,factorial,flat,Prediction effect without reconstruction,,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 0.0}"
flat_pruned,pruning,flat,Distinguish deleting heads from zeroing their losses,Changes parameter count and possibly initialization/RNG,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.use_pdyn"": false, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": false, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
rec_pruned,pruning,rec_only,Distinguish deleting heads from zeroing their losses,Changes parameter count and possibly initialization/RNG,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.use_pdyn"": false, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
pdyn_pruned,pruning,pdyn_only,Distinguish deleting heads from zeroing their losses,Changes parameter count and possibly initialization/RNG,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": false, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
joint_full,joint_factorial,full,Auxiliary backbone routing and its interaction with each loss,,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": true, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
joint_flat,joint_factorial,flat,Auxiliary backbone routing and its interaction with each loss,,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": true, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 0.0, ""agent.loss_scales.htp_rec"": 0.0}"
joint_rec_only,joint_factorial,rec_only,Auxiliary backbone routing and its interaction with each loss,,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": true, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 0.0, ""agent.loss_scales.htp_rec"": 1.0}"
joint_pdyn_only,joint_factorial,pdyn_only,Auxiliary backbone routing and its interaction with each loss,,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": true, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 0.0}"
separable_full,projection,full,Separate output heads with shared trunk,NOT independent trunks; does not guarantee parameter-level semantic isolation,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.proj.separable"": true, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 1.0, ""agent.loss_scales.htp_rec"": 1.0}"
separable_flat,projection,flat,Separate output heads with shared trunk,NOT independent trunks; does not guarantee parameter-level semantic isolation,"{""agent.htp.enabled"": true, ""agent.htp.grad_to_backbone"": false, ""agent.htp.proj.separable"": true, ""agent.htp.use_pdyn"": true, ""agent.htp.use_proj"": true, ""agent.htp.use_recon"": true, ""agent.htp.use_vicreg"": false, ""agent.loss_scales.htp_pdyn"": 0.0, ""agent.loss_scales.htp_rec"": 0.0}"
